<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.18	09:15:00	1.18832	1.18855	1.18773	1.18841	1306	0	19
2022.07.18	09:30:00	1.18841	1.19045	1.18791	1.19033	1522	0	19
2022.07.18	09:45:00	1.19031	1.19085	1.19016	1.19082	1532	0	19
2022.07.18	10:00:00	1.19082	1.19277	1.18979	1.19245	2323	0	19
2022.07.18	10:15:00	1.19245	1.19403	1.19214	1.19339	1921	0	19
2022.07.18	10:30:00	1.19340	1.19406	1.19307	1.19312	1833	0	19
2022.07.18	10:45:00	1.19317	1.19484	1.19302	1.19479	1559	0	19
2022.07.18	11:00:00	1.19475	1.19647	1.19463	1.19630	1644	0	19
2022.07.18	11:15:00	1.19629	1.19629	1.19441	1.19441	1057	0	19
2022.07.18	11:30:00	1.19441	1.19462	1.19337	1.19347	1092	0	19
2022.07.18	11:45:00	1.19350	1.19476	1.19337	1.19449	1572	0	19
2022.07.18	12:00:00	1.19449	1.19575	1.19409	1.19568	1859	0	19
2022.07.18	12:15:00	1.19568	1.19637	1.19538	1.19569	1335	0	19
2022.07.18	12:30:00	1.19574	1.19734	1.19488	1.19701	1046	0	19
2022.07.18	12:45:00	1.19702	1.19819	1.19698	1.19763	1365	0	19
2022.07.18	13:00:00	1.19762	1.19802	1.19671	1.19802	1069	0	19
2022.07.18	13:15:00	1.19801	1.19909	1.19763	1.19823	1303	0	19
2022.07.18	13:30:00	1.19823	1.19847	1.19705	1.19756	949	0	19
2022.07.18	13:45:00	1.19742	1.19835	1.19712	1.19816	849	0	19
2022.07.18	14:00:00	1.19825	1.19851	1.19741	1.19772	1505	0	19
2022.07.18	14:15:00	1.19773	1.19821	1.19683	1.19696	980	0	19
2022.07.18	14:30:00	1.19696	1.19739	1.19621	1.19667	1013	0	19
2022.07.18	14:45:00	1.19666	1.19708	1.19613	1.19686	782	0	19
2022.07.18	15:00:00	1.19694	1.19719	1.19558	1.19600	1027	0	19
2022.07.18	15:15:00	1.19601	1.19628	1.19515	1.19545	1365	0	19
2022.07.18	15:30:00	1.19551	1.19697	1.19548	1.19697	1493	0	19
2022.07.18	15:45:00	1.19698	1.19793	1.19667	1.19786	1076	0	19
2022.07.18	16:00:00	1.19785	1.19786	1.19687	1.19767	1450	0	19
2022.07.18	16:15:00	1.19766	1.19884	1.19759	1.19829	1571	0	19
2022.07.18	16:30:00	1.19830	1.19985	1.19828	1.19979	2217	0	19
2022.07.18	16:45:00	1.19980	1.20096	1.19929	1.19949	1877	0	19
2022.07.18	17:00:00	1.19949	1.20069	1.19901	1.19976	1831	0	19
2022.07.18	17:15:00	1.19977	1.20138	1.19973	1.20087	1970	0	19
2022.07.18	17:30:00	1.20088	1.20238	1.20076	1.20217	2008	0	19
2022.07.18	17:45:00	1.20219	1.20325	1.20156	1.20236	2171	0	19
2022.07.18	18:00:00	1.20235	1.20259	1.20002	1.20018	1672	0	19
2022.07.18	18:15:00	1.20015	1.20028	1.19891	1.19898	1489	0	19
2022.07.18	18:30:00	1.19899	1.19954	1.19868	1.19881	1232	0	19
2022.07.18	18:45:00	1.19881	1.19930	1.19859	1.19876	985	0	19
2022.07.18	19:00:00	1.19876	1.19957	1.19846	1.19948	866	0	19
2022.07.18	19:15:00	1.19946	1.19988	1.19876	1.19886	897	0	19
2022.07.18	19:30:00	1.19894	1.19910	1.19816	1.19847	885	0	19
2022.07.18	19:45:00	1.19856	1.19856	1.19745	1.19754	840	0	19
2022.07.18	20:00:00	1.19755	1.19788	1.19735	1.19778	1029	0	19
2022.07.18	20:15:00	1.19777	1.19796	1.19699	1.19735	1030	0	19
2022.07.18	20:30:00	1.19734	1.19738	1.19609	1.19623	1174	0	19
2022.07.18	20:45:00	1.19622	1.19671	1.19537	1.19549	1409	0	19
2022.07.18	21:00:00	1.19548	1.19591	1.19517	1.19562	1357	0	19
2022.07.18	21:15:00	1.19561	1.19608	1.19530	1.19539	1124	0	19
2022.07.18	21:30:00	1.19538	1.19626	1.19532	1.19566	1041	0	19
2022.07.18	21:45:00	1.19567	1.19581	1.19480	1.19533	1020	0	19
2022.07.18	22:00:00	1.19523	1.19598	1.19505	1.19553	1196	0	19
2022.07.18	22:15:00	1.19552	1.19597	1.19552	1.19572	991	0	19
2022.07.18	22:30:00	1.19569	1.19571	1.19454	1.19454	1623	0	19
2022.07.18	22:45:00	1.19458	1.19539	1.19457	1.19539	1275	0	19
2022.07.18	23:00:00	1.19537	1.19546	1.19514	1.19537	590	0	20
2022.07.18	23:15:00	1.19536	1.19541	1.19471	1.19471	148	0	21
2022.07.18	23:30:00	1.19475	1.19510	1.19475	1.19505	71	0	22
2022.07.18	23:45:00	1.19504	1.19517	1.19444	1.19483	71	0	22
2022.07.19	00:00:00	1.19462	1.19531	1.19399	1.19491	47	0	65
2022.07.19	00:15:00	1.19491	1.19566	1.19299	1.19475	183	0	65
2022.07.19	00:30:00	1.19507	1.19514	1.19414	1.19489	163	0	65
2022.07.19	00:45:00	1.19489	1.19548	1.19476	1.19506	74	0	59
2022.07.19	01:00:00	1.19507	1.19526	1.19453	1.19485	61	0	44
2022.07.19	01:15:00	1.19485	1.19558	1.19485	1.19551	404	0	19
2022.07.19	01:30:00	1.19543	1.19570	1.19487	1.19507	316	0	19
2022.07.19	01:45:00	1.19508	1.19557	1.19439	1.19477	447	0	22
2022.07.19	02:00:00	1.19478	1.19494	1.19443	1.19451	460	0	19
2022.07.19	02:15:00	1.19452	1.19476	1.19411	1.19447	584	0	19
2022.07.19	02:30:00	1.19455	1.19473	1.19429	1.19439	594	0	19
2022.07.19	02:45:00	1.19439	1.19479	1.19431	1.19475	824	0	19
2022.07.19	03:00:00	1.19475	1.19498	1.19404	1.19436	788	0	19
2022.07.19	03:15:00	1.19435	1.19454	1.19416	1.19442	966	0	20
2022.07.19	03:30:00	1.19441	1.19450	1.19397	1.19426	968	0	19
2022.07.19	03:45:00	1.19425	1.19429	1.19315	1.19341	984	0	19
2022.07.19	04:00:00	1.19340	1.19351	1.19297	1.19327	468	0	19
2022.07.19	04:15:00	1.19327	1.19350	1.19294	1.19334	1026	0	19
2022.07.19	04:30:00	1.19334	1.19396	1.19327	1.19366	1342	0	19
2022.07.19	04:45:00	1.19366	1.19389	1.19237	1.19257	878	0	19
2022.07.19	05:00:00	1.19266	1.19386	1.19264	1.19381	1090	0	20
2022.07.19	05:15:00	1.19382	1.19408	1.19341	1.19381	840	0	21
2022.07.19	05:30:00	1.19380	1.19430	1.19357	1.19412	910	0	19
2022.07.19	05:45:00	1.19412	1.19419	1.19377	1.19386	974	0	19
2022.07.19	06:00:00	1.19385	1.19472	1.19384	1.19459	914	0	21
2022.07.19	06:15:00	1.19459	1.19466	1.19405	1.19446	887	0	20
2022.07.19	06:30:00	1.19446	1.19455	1.19405	1.19420	824	0	19
2022.07.19	06:45:00	1.19421	1.19449	1.19375	1.19401	934	0	19
2022.07.19	07:00:00	1.19401	1.19436	1.19395	1.19410	656	0	20
2022.07.19	07:15:00	1.19411	1.19430	1.19363	1.19384	684	0	19
2022.07.19	07:30:00	1.19385	1.19469	1.19378	1.19465	790	0	19
2022.07.19	07:45:00	1.19465	1.19553	1.19412	1.19444	1123	0	19
2022.07.19	08:00:00	1.19446	1.19529	1.19424	1.19519	1171	0	19
2022.07.19	08:15:00	1.19520	1.19602	1.19503	1.19586	1147	0	19
2022.07.19	08:30:00	1.19585	1.19657	1.19566	1.19640	1415	0	19
2022.07.19	08:45:00	1.19639	1.19644	1.19582	1.19615	1121	0	19
2022.07.19	09:00:00	1.19614	1.19719	1.19590	1.19710	1641	0	19
2022.07.19	09:15:00	1.19712	1.19767	1.19669	1.19754	1468	0	19
2022.07.19	09:30:00	1.19755	1.19787	1.19688	1.19776	1642	0	19
2022.07.19	09:45:00	1.19767	1.19776	1.19660	1.19681	1377	0	19
2022.07.19	10:00:00	1.19686	1.19854	1.19618	1.19809	2598	0	19
2022.07.19	10:15:00	1.19814	1.19959	1.19786	1.19910	2055	0	19
2022.07.19	10:30:00	1.19906	1.20057	1.19849	1.19882	2687	0	19
2022.07.19	10:45:00	1.19884	1.20087	1.19882	1.20081	2436	0	19
2022.07.19	11:00:00	1.20082	1.20210	1.20064	1.20082	2401	0	19
2022.07.19	11:15:00	1.20084	1.20229	1.20077	1.20085	1988	0	19
2022.07.19	11:30:00	1.20084	1.20152	1.20013	1.20050	1935	0	19
2022.07.19	11:45:00	1.20049	1.20203	1.19990	1.20195	1670	0	19
2022.07.19	12:00:00	1.20194	1.20198	1.20017	1.20069	1877	0	19
2022.07.19	12:15:00	1.20069	1.20152	1.19997	1.20116	1721	0	19
2022.07.19	12:30:00	1.20115	1.20268	1.20028	1.20231	1661	0	19
2022.07.19	12:45:00	1.20231	1.20267	1.20158	1.20169	1374	0	19
2022.07.19	13:00:00	1.20167	1.20389	1.20160	1.20242	1302	0	19
2022.07.19	13:15:00	1.20243	1.20243	1.20150	1.20214	1176	0	19
2022.07.19	13:30:00	1.20214	1.20256	1.20080	1.20198	1443	0	19
2022.07.19	13:45:00	1.20200	1.20288	1.20084	1.20262	1359	0	19
2022.07.19	14:00:00	1.20258	1.20258	1.20107	1.20218	1844	0	19
2022.07.19	14:15:00	1.20218	1.20261	1.20169	1.20217	1489	0	19
2022.07.19	14:30:00	1.20218	1.20318	1.20200	1.20268	1549	0	19
2022.07.19	14:45:00	1.20261	1.20286	1.20160	1.20186	1337	0	19
2022.07.19	15:00:00	1.20187	1.20215	1.20069	1.20083	1436	0	19
2022.07.19	15:15:00	1.20084	1.20139	1.19991	1.20029	1587	0	19
2022.07.19	15:30:00	1.20028	1.20137	1.20007	1.20055	1741	0	19
2022.07.19	15:45:00	1.20055	1.20145	1.20027	1.20110	1825	0	19
2022.07.19	16:00:00	1.20104	1.20267	1.20066	1.20234	1501	0	19
2022.07.19	16:15:00	1.20227	1.20277	1.20162	1.20173	1759	0	19
2022.07.19	16:30:00	1.20172	1.20331	1.20172	1.20288	2044	0	19
2022.07.19	16:45:00	1.20288	1.20395	1.20145	1.20155	2220	0	19
2022.07.19	17:00:00	1.20151	1.20389	1.20037	1.20189	2173	0	19
2022.07.19	17:15:00	1.20185	1.20258	1.20043	1.20213	2430	0	19
2022.07.19	17:30:00	1.20212	1.20256	1.20075	1.20086	1908	0	19
2022.07.19	17:45:00	1.20085	1.20325	1.20085	1.20260	2148	0	19
2022.07.19	18:00:00	1.20260	1.20446	1.20259	1.20373	2027	0	19
2022.07.19	18:15:00	1.20371	1.20417	1.20196	1.20215	1363	0	19
2022.07.19	18:30:00	1.20216	1.20234	1.20144	1.20166	1463	0	19
2022.07.19	18:45:00	1.20166	1.20247	1.20124	1.20203	1456	0	19
2022.07.19	19:00:00	1.20203	1.20224	1.20125	1.20180	1253	0	19
2022.07.19	19:15:00	1.20182	1.20225	1.20155	1.20183	625	0	19
2022.07.19	19:30:00	1.20182	1.20245	1.20095	1.20104	781	0	19
2022.07.19	19:45:00	1.20104	1.20125	1.20044	1.20064	834	0	19
2022.07.19	20:00:00	1.20066	1.20095	1.20015	1.20016	958	0	19
2022.07.19	20:15:00	1.20016	1.20064	1.19996	1.20038	1088	0	19
2022.07.19	20:30:00	1.20041	1.20074	1.20016	1.20028	697	0	19
2022.07.19	20:45:00	1.20027	1.20046	1.19965	1.19977	1045	0	19
2022.07.19	21:00:00	1.19976	1.19984	1.19928	1.19933	686	0	19
2022.07.19	21:15:00	1.19932	1.19935	1.19849	1.19864	737	0	19
2022.07.19	21:30:00	1.19864	1.19897	1.19852	1.19874	821	0	19
2022.07.19	21:45:00	1.19876	1.19967	1.19871	1.19956	777	0	19
2022.07.19	22:00:00	1.19957	1.19981	1.19882	1.19956	865	0	19
2022.07.19	22:15:00	1.19956	1.19990	1.19899	1.19973	934	0	19
2022.07.19	22:30:00	1.19972	1.19980	1.19926	1.19963	746	0	19
2022.07.19	22:45:00	1.19963	1.20005	1.19954	1.19976	1190	0	19
2022.07.19	23:00:00	1.19973	1.20015	1.19971	1.20007	604	0	19
2022.07.19	23:15:00	1.20006	1.20031	1.19990	1.19996	370	0	23
2022.07.19	23:30:00	1.19993	1.20036	1.19992	1.20006	126	0	19
2022.07.19	23:45:00	1.20009	1.20009	1.19889	1.19889	126	0	19
2022.07.20	00:00:00	1.19828	1.19995	1.19827	1.19990	30	0	55
2022.07.20	00:15:00	1.19990	1.20002	1.19930	1.19990	56	0	40
2022.07.20	00:30:00	1.19990	1.20015	1.19936	1.19973	43	0	45
2022.07.20	00:45:00	1.19973	1.20016	1.19932	1.19969	76	0	39
2022.07.20	01:00:00	1.19969	1.20016	1.19948	1.20015	261	0	34
2022.07.20	01:15:00	1.20013	1.20031	1.19994	1.20027	653	0	28
2022.07.20	01:30:00	1.20025	1.20056	1.20021	1.20046	280	0	28
2022.07.20	01:45:00	1.20046	1.20058	1.20041	1.20041	91	0	32
2022.07.20	02:00:00	1.20045	1.20062	1.20029	1.20060	173	0	24
2022.07.20	02:15:00	1.20050	1.20052	1.19984	1.20001	198	0	19
2022.07.20	02:30:00	1.20000	1.20042	1.19980	1.20010	295	0	21
2022.07.20	02:45:00	1.20009	1.20031	1.20006	1.20016	270	0	23
2022.07.20	03:00:00	1.20015	1.20049	1.20004	1.20048	143	0	24
2022.07.20	03:15:00	1.20042	1.20149	1.20042	1.20136	305	0	22
2022.07.20	03:30:00	1.20138	1.20162	1.20108	1.20126	170	0	20
2022.07.20	03:45:00	1.20123	1.20158	1.20078	1.20145	372	0	24
2022.07.20	04:00:00	1.20152	1.20155	1.20084	1.20108	321	0	19
2022.07.20	04:15:00	1.20108	1.20134	1.20096	1.20123	336	0	26
2022.07.20	04:30:00	1.20122	1.20171	1.20094	1.20144	354	0	24
2022.07.20	04:45:00	1.20144	1.20170	1.20108	1.20142	805	0	19
2022.07.20	05:00:00	1.20142	1.20188	1.20130	1.20178	878	0	19
2022.07.20	05:15:00	1.20178	1.20206	1.20162	1.20183	947	0	19
2022.07.20	05:30:00	1.20183	1.20281	1.20174	1.20280	1204	0	19
2022.07.20	05:45:00	1.20280	1.20299	1.20256	1.20258	1008	0	19
2022.07.20	06:00:00	1.20259	1.20276	1.20222	1.20252	933	0	19
2022.07.20	06:15:00	1.20254	1.20305	1.20252	1.20296	703	0	20
2022.07.20	06:30:00	1.20296	1.20307	1.20236	1.20255	349	0	19
2022.07.20	06:45:00	1.20258	1.20265	1.20214	1.20248	503	0	19
2022.07.20	07:00:00	1.20247	1.20288	1.20234	1.20286	643	0	19
2022.07.20	07:15:00	1.20285	1.20364	1.20281	1.20303	620	0	19
2022.07.20	07:30:00	1.20304	1.20327	1.20272	1.20291	587	0	19
2022.07.20	07:45:00	1.20291	1.20310	1.20268	1.20286	461	0	19
2022.07.20	08:00:00	1.20286	1.20304	1.20247	1.20279	614	0	19
2022.07.20	08:15:00	1.20277	1.20336	1.20246	1.20326	807	0	19
2022.07.20	08:30:00	1.20326	1.20326	1.20236	1.20262	535	0	19
2022.07.20	08:45:00	1.20261	1.20301	1.20179	1.20194	743	0	19
2022.07.20	09:00:00	1.20194	1.20326	1.20040	1.20056	1358	0	19
2022.07.20	09:15:00	1.20057	1.20105	1.19975	1.20036	1175	0	19
2022.07.20	09:30:00	1.20031	1.20065	1.19921	1.19921	1417	0	19
2022.07.20	09:45:00	1.19921	1.20111	1.19919	1.20077	1301	0	19
2022.07.20	10:00:00	1.20078	1.20185	1.20007	1.20157	2368	0	19
2022.07.20	10:15:00	1.20158	1.20275	1.20122	1.20169	2374	0	19
2022.07.20	10:30:00	1.20170	1.20221	1.20007	1.20018	2371	0	19
2022.07.20	10:45:00	1.20026	1.20083	1.19880	1.19896	2340	0	19
2022.07.20	11:00:00	1.19897	1.20109	1.19878	1.20017	2021	0	19
2022.07.20	11:15:00	1.20017	1.20059	1.19975	1.19990	1604	0	19
2022.07.20	11:30:00	1.19989	1.20089	1.19989	1.20020	1522	0	19
2022.07.20	11:45:00	1.20022	1.20156	1.20005	1.20036	1417	0	19
2022.07.20	12:00:00	1.20031	1.20147	1.20003	1.20097	999	0	19
2022.07.20	12:15:00	1.20096	1.20315	1.20096	1.20282	1559	0	19
2022.07.20	12:30:00	1.20282	1.20299	1.20186	1.20224	978	0	19
2022.07.20	12:45:00	1.20224	1.20250	1.20164	1.20230	719	0	19
2022.07.20	13:00:00	1.20228	1.20267	1.20137	1.20162	1175	0	19
2022.07.20	13:15:00	1.20162	1.20196	1.20053	1.20115	1251	0	19
2022.07.20	13:30:00	1.20114	1.20115	1.19722	1.19764	2647	0	19
2022.07.20	13:45:00	1.19764	1.19827	1.19641	1.19797	2248	0	19
2022.07.20	14:00:00	1.19799	1.19922	1.19775	1.19898	1638	0	19
2022.07.20	14:15:00	1.19894	1.19926	1.19779	1.19806	1226	0	19
2022.07.20	14:30:00	1.19807	1.19827	1.19707	1.19759	1347	0	19
2022.07.20	14:45:00	1.19760	1.19816	1.19678	1.19724	1682	0	19
2022.07.20	15:00:00	1.19725	1.19775	1.19666	1.19724	1460	0	19
2022.07.20	15:15:00	1.19723	1.19731	1.19545	1.19668	1813	0	19
2022.07.20	15:30:00	1.19667	1.19750	1.19619	1.19671	1848	0	19
2022.07.20	15:45:00	1.19671	1.19887	1.19631	1.19824	1792	0	19
2022.07.20	16:00:00	1.19824	1.19917	1.19773	1.19873	1440	0	19
2022.07.20	16:15:00	1.19873	1.19988	1.19842	1.19965	1817	0	19
2022.07.20	16:30:00	1.19964	1.20030	1.19864	1.19889	2021	0	19
2022.07.20	16:45:00	1.19895	1.19907	1.19793	1.19805	2065	0	19
2022.07.20	17:00:00	1.19810	1.19845	1.19731	1.19795	1802	0	19
2022.07.20	17:15:00	1.19796	1.19949	1.19768	1.19885	1453	0	19
2022.07.20	17:30:00	1.19888	1.20053	1.19838	1.19893	1953	0	19
2022.07.20	17:45:00	1.19893	1.19985	1.19844	1.19966	1825	0	19
2022.07.20	18:00:00	1.19965	1.19999	1.19855	1.19918	1843	0	19
2022.07.20	18:15:00	1.19920	1.19927	1.19768	1.19784	1046	0	19
2022.07.20	18:30:00	1.19785	1.19838	1.19726	1.19794	1166	0	19
2022.07.20	18:45:00	1.19795	1.19875	1.19775	1.19866	902	0	19
2022.07.20	19:00:00	1.19869	1.19882	1.19804	1.19804	745	0	19
2022.07.20	19:15:00	1.19804	1.19834	1.19765	1.19773	704	0	19
2022.07.20	19:30:00	1.19773	1.19803	1.19671	1.19704	1269	0	19
2022.07.20	19:45:00	1.19703	1.19727	1.19590	1.19711	1609	0	19
2022.07.20	20:00:00	1.19703	1.19746	1.19564	1.19643	2037	0	19
2022.07.20	20:15:00	1.19643	1.19668	1.19590	1.19658	1233	0	19
2022.07.20	20:30:00	1.19658	1.19694	1.19557	1.19635	1195	0	19
2022.07.20	20:45:00	1.19636	1.19647	1.19526	1.19565	1177	0	19
2022.07.20	21:00:00	1.19567	1.19635	1.19565	1.19600	1253	0	19
2022.07.20	21:15:00	1.19599	1.19667	1.19575	1.19666	1070	0	19
2022.07.20	21:30:00	1.19672	1.19728	1.19656	1.19667	844	0	19
2022.07.20	21:45:00	1.19667	1.19691	1.19636	1.19655	770	0	19
2022.07.20	22:00:00	1.19652	1.19733	1.19646	1.19650	668	0	19
2022.07.20	22:15:00	1.19651	1.19685	1.19635	1.19685	669	0	19
2022.07.20	22:30:00	1.19678	1.19759	1.19661	1.19751	955	0	19
2022.07.20	22:45:00	1.19750	1.19765	1.19708	1.19747	805	0	19
2022.07.20	23:00:00	1.19747	1.19769	1.19725	1.19742	476	0	22
2022.07.20	23:15:00	1.19742	1.19752	1.19727	1.19752	186	0	25
2022.07.20	23:30:00	1.19742	1.19765	1.19722	1.19755	112	0	25
2022.07.20	23:45:00	1.19756	1.19784	1.19596	1.19596	106	0	26
2022.07.21	00:00:00	1.19594	1.19767	1.19594	1.19767	568	0	59
2022.07.21	00:15:00	1.19766	1.19777	1.19747	1.19753	24	0	24
2022.07.21	00:30:00	1.19753	1.19775	1.19750	1.19767	19	0	54
2022.07.21	00:45:00	1.19767	1.19767	1.19767	1.19767	11	0	54
2022.07.21	01:00:00	1.19767	1.19800	1.19767	1.19799	52	0	39
2022.07.21	01:15:00	1.19802	1.19802	1.19767	1.19792	610	0	35
2022.07.21	01:30:00	1.19788	1.19792	1.19772	1.19772	92	0	29
2022.07.21	01:45:00	1.19772	1.19774	1.19758	1.19761	52	0	27
2022.07.21	02:00:00	1.19772	1.19777	1.19698	1.19723	174	0	19
2022.07.21	02:15:00	1.19724	1.19724	1.19668	1.19689	513	0	19
2022.07.21	02:30:00	1.19689	1.19691	1.19664	1.19671	332	0	19
2022.07.21	02:45:00	1.19671	1.19730	1.19665	1.19670	285	0	20
2022.07.21	03:00:00	1.19669	1.19677	1.19622	1.19672	811	0	19
2022.07.21	03:15:00	1.19673	1.19679	1.19631	1.19651	640	0	21
2022.07.21	03:30:00	1.19651	1.19679	1.19627	1.19647	535	0	19
2022.07.21	03:45:00	1.19648	1.19705	1.19631	1.19662	890	0	19
2022.07.21	04:00:00	1.19661	1.19698	1.19620	1.19671	1163	0	19
2022.07.21	04:15:00	1.19673	1.19723	1.19647	1.19678	987	0	19
2022.07.21	04:30:00	1.19678	1.19771	1.19669	1.19723	1406	0	19
2022.07.21	04:45:00	1.19723	1.19850	1.19707	1.19840	812	0	19
2022.07.21	05:00:00	1.19839	1.19853	1.19788	1.19833	922	0	19
2022.07.21	05:15:00	1.19832	1.19845	1.19778	1.19829	1010	0	19
2022.07.21	05:30:00	1.19828	1.19859	1.19813	1.19850	827	0	19
2022.07.21	05:45:00	1.19851	1.19857	1.19820	1.19839	987	0	20
2022.07.21	06:00:00	1.19839	1.19913	1.19811	1.19839	1241	0	19
2022.07.21	06:15:00	1.19841	1.19846	1.19801	1.19813	1060	0	22
2022.07.21	06:30:00	1.19813	1.19817	1.19758	1.19790	836	0	20
2022.07.21	06:45:00	1.19790	1.19815	1.19775	1.19789	847	0	20
2022.07.21	07:00:00	1.19790	1.19828	1.19786	1.19820	458	0	19
2022.07.21	07:15:00	1.19821	1.19874	1.19819	1.19820	659	0	22
2022.07.21	07:30:00	1.19821	1.19948	1.19821	1.19900	1386	0	19
2022.07.21	07:45:00	1.19900	1.19995	1.19892	1.19979	1107	0	19
2022.07.21	08:00:00	1.19978	1.20018	1.19942	1.19968	1138	0	19
2022.07.21	08:15:00	1.19970	1.19978	1.19881	1.19914	1193	0	19
2022.07.21	08:30:00	1.19916	1.19986	1.19901	1.19963	1355	0	20
2022.07.21	08:45:00	1.19964	1.20003	1.19917	1.19922	839	0	19
2022.07.21	09:00:00	1.19927	1.19960	1.19885	1.19938	859	0	19
2022.07.21	09:15:00	1.19937	1.19948	1.19832	1.19841	982	0	19
2022.07.21	09:30:00	1.19841	1.20029	1.19809	1.19965	1586	0	19
2022.07.21	09:45:00	1.19965	1.19983	1.19837	1.19865	725	0	19
2022.07.21	10:00:00	1.19864	1.19912	1.19719	1.19729	1951	0	19
2022.07.21	10:15:00	1.19729	1.19729	1.19526	1.19536	1973	0	19
2022.07.21	10:30:00	1.19540	1.19659	1.19528	1.19561	2073	0	19
2022.07.21	10:45:00	1.19560	1.19576	1.19358	1.19408	1980	0	19
2022.07.21	11:00:00	1.19411	1.19417	1.19197	1.19247	2276	0	19
2022.07.21	11:15:00	1.19246	1.19392	1.19209	1.19350	1916	0	19
2022.07.21	11:30:00	1.19349	1.19448	1.19245	1.19288	1935	0	19
2022.07.21	11:45:00	1.19289	1.19419	1.19244	1.19382	1831	0	19
2022.07.21	12:00:00	1.19384	1.19391	1.19210	1.19256	1580	0	19
2022.07.21	12:15:00	1.19255	1.19339	1.19213	1.19324	1911	0	19
2022.07.21	12:30:00	1.19325	1.19379	1.19239	1.19365	1666	0	19
2022.07.21	12:45:00	1.19365	1.19454	1.19353	1.19425	1359	0	19
2022.07.21	13:00:00	1.19425	1.19532	1.19415	1.19507	1662	0	19
2022.07.21	13:15:00	1.19508	1.19679	1.19468	1.19671	1590	0	19
2022.07.21	13:30:00	1.19670	1.19698	1.19591	1.19630	1593	0	19
2022.07.21	13:45:00	1.19631	1.19631	1.19546	1.19609	1765	0	19
2022.07.21	14:00:00	1.19613	1.19639	1.19479	1.19491	1274	0	19
2022.07.21	14:15:00	1.19490	1.19501	1.19368	1.19466	1280	0	19
2022.07.21	14:30:00	1.19465	1.19486	1.19305	1.19354	1570	0	19
2022.07.21	14:45:00	1.19358	1.19391	1.19205	1.19205	1398	0	19
2022.07.21	15:00:00	1.19205	1.19348	1.19123	1.19217	2052	0	19
2022.07.21	15:15:00	1.19217	1.19560	1.19186	1.19388	3323	0	19
